   emu(eV)      n(10^20/cm3)               DOS            intDOS       tau(1E-14s)         |vk|(m/s)        sigma(S/m)       ke(Wm-1K-1)      L(1E-8V2K-2)           S(uV/K)   PF(1E-4Wm-1K-2)
  -1.24000    -614.90184         6.4033474         20.821926         1.0454562         145197.16         1466574.0         27.464940         2.3409099         22.231840         7.2486111    
  -1.23000    -602.68680         6.2227816         20.885059         1.0501591         145928.64         1446422.1         27.473347         2.3742504         22.761124         7.4934613    
  -1.22000    -590.82256         6.0411025         20.946378         1.0552470         146692.01         1426006.3         27.501559         2.4107151         23.110942         7.6165228    
  -1.21000    -579.30914         5.8605103         21.005884         1.0607529         147477.04         1405590.5         27.543534         2.4494628         23.260152         7.6047318    
  -1.20000    -568.14237         5.6831143         21.063599         1.0667085         148272.80         1385445.1         27.592280         2.4894780         23.194808         7.4536825    
  -1.19000    -557.31415         5.5108656         21.119564         1.0731434         149067.60         1365832.8         27.640343         2.5296236         22.908953         7.1681654    
  -1.18000    -546.81280         5.3455065         21.173839         1.0800835         149849.10         1346996.6         27.680274         2.5687032         22.404866         6.7616270    
  -1.17000    -536.62349         5.1885356         21.226502         1.0875503         150604.41         1329150.3         27.705059         2.6055236         21.692801         6.2546836    
  -1.16000    -526.72876         5.0411908         21.277642         1.0955596         151320.28         1312472.4         27.708467         2.6389571         20.790261         5.6729642    
  -1.15000    -517.10900         4.9044469         21.327361         1.1041210         151983.31         1297102.5         27.685305         2.6679952         19.720933         5.0446288    
  -1.14000    -507.74296         4.7790257         21.375769         1.1132368         152580.27         1283140.3         27.631573         2.6917919         18.513390         4.3979072    
  -1.13000    -498.60822         4.6654140         21.422981         1.1229018         153098.41         1270647.1         27.544523         2.7096944         17.199683         3.7589440    
  -1.12000    -489.68163         4.5638877         21.469117         1.1331031         153525.79         1259648.1         27.422631         2.7212592         15.813950         3.1501408    
  -1.11000    -480.93971         4.4745364         21.514299         1.1438205         153851.60         1250135.7         27.265516         2.7262557         14.391113         2.5890826    
  -1.10000    -472.35893         4.3972880         21.558648         1.1550262         154066.55         1242073.3         27.073810         2.7246591         12.965729         2.0880509    
  -1.09000    -463.91607         4.3319299         21.602285         1.1666863         154163.10         1235398.7         26.849010         2.7166341         11.571018         1.6540563    
  -1.08000    -455.58842         4.2781275         21.645325         1.1787611         154135.75         1230027.7         26.593323         2.7025125         10.238071         1.2892917    
  -1.07000    -447.35404         4.2354385         21.687884         1.1912071         153981.19         1225857.0         26.309516         2.6827677         8.9952244        0.99189067    
  -1.06000    -439.19193         4.2033243         21.730069         1.2039781         153698.43         1222766.6         26.000771         2.6579860         7.8675797        0.75687796    
  -1.05000    -431.08222         4.1811592         21.771984         1.2170270         153288.73         1220622.7         25.670557         2.6288382         6.8766532        0.57721244    
  -1.04000    -423.00634         4.1682393         21.813724         1.2303078         152755.58         1219280.0         25.322503         2.5960509         6.0401355        0.44483281    
  -1.03000    -414.94713         4.1637908         21.855377         1.2437774         152104.42         1218584.0         24.960285         2.5603781         5.3717606        0.35163229    
  -1.02000    -406.88899         4.1669807         21.897025         1.2573966         151342.39         1218373.7         24.587511         2.5225749         4.8812832        0.29030098    
  -1.01000    -398.81801         4.1769289         21.938739         1.2711322         150477.93         1218484.5         24.207613         2.4833730         4.5745723        0.25498874    
  -1.00000    -390.72197         4.1927225         21.980583         1.2849567         149520.40         1218751.3         23.823748         2.4434586         4.4538255        0.24175836    
  -0.99000    -382.59046         4.2134310         22.022610         1.2988495         148479.69         1219011.5         23.438709         2.4034544         4.5179045        0.24881806    
  -0.98000    -374.41489         4.2381221         22.064865         1.3127958         147365.82         1219108.0         23.054848         2.3639055         4.7627837        0.27654377    
  -0.97000    -366.18844         4.2658763         22.107383         1.3267865         146188.66         1218891.9         22.674029         2.3252708         5.1820902        0.32732194    
